,State,Year,Population,Total Crime Rate,Violent Crime Rate,Murder,Forcible Rape,Robbery,Aggravated Assault,Property Crime Rate,Burglary,Larceny - Theft,Motor Vehicle Theft
Row,,,,"per 100,000 population",total,,,,,total,,,
47,alabama,1965,3462000,15925,1998,114,106,287,1491,13927,4737,8121,1069
48,alabama,1966,3517000,17583,2303,109,97,320,1777,15280,5275,8696,1310
49,alabama,1967,3540000,18510,2386,117,105,330,1835,16124,5714,8950,1460
50,alabama,1968,3566000,19990,2324,118,111,410,1685,17666,6282,9677,1707
51,alabama,1969,3531000,21266,2504,137,140,410,1817,18762,6672,10378,1712
52,alabama,1970,3444165,24795,2957,117,185,503,2152,21838,7764,11840,2235
53,alabama,1971,3479000,24984,3114,151,190,576,2197,21870,7918,11739,2212
54,alabama,1972,3510000,23945,3132,141,188,686,2117,20813,7896,10967,1950
55,alabama,1973,3539000,25823,3501,132,212,794,2363,22322,8973,11078,2272
56,alabama,1974,3577000,30001,3729,150,227,996,2356,26272,10579,13087,2606
57,alabama,1975,3614000,34725,3929,160,204,1230,2335,30796,11638,16455,2703
58,alabama,1976,3665000,38083,3888,151,217,960,2560,34195,11700,19872,2623
59,alabama,1977,3690000,37126,4144,142,252,968,2783,32982,11355,18819,2807
60,alabama,1978,3742000,39388,4191,133,255,991,2812,35197,12293,19879,3025
61,alabama,1979,3769000,42438,4133,132,275,1095,2631,38305,12873,22232,3201
62,alabama,1980,3861466,49336,4485,132,300,1321,2732,44851,15267,26422,3162
63,alabama,1981,3916000,48987,4705,119,261,1265,3061,44283,14507,26933,2842
64,alabama,1982,3943000,46336,4477,106,260,1120,2991,41858,12562,26564,2733
65,alabama,1983,3959000,41011,4160,92,235,984,2849,36850,10731,23814,2305
66,alabama,1984,3990000,39020,4312,94,251,961,3006,34709,10018,22355,2336
67,alabama,1985,4021000,39421,4575,98,268,1054,3155,34846,10349,21912,2585
68,alabama,1986,4053000,42884,5580,101,284,1116,4079,37303,11590,23044,2670
69,alabama,1987,4083000,44514,5592,93,278,1122,4099,38922,11983,24311,2628
70,alabama,1988,4127000,45617,5586,99,298,1178,4012,40031,12338,25026,2667
71,alabama,1989,4118000,46278,5908,102,310,1339,4157,40370,11468,25928,2975
72,alabama,1990,4040587,49152,7086,116,326,1437,5207,42067,11034,27554,3478
73,alabama,1991,4089000,53656,8442,115,356,1528,6444,45214,12686,28895,3634
74,alabama,1992,4136000,52681,8717,110,412,1649,6546,43964,11860,28482,3623
75,alabama,1993,4187000,48788,7804,116,351,1595,5743,40984,10886,26720,3378
76,alabama,1994,4219000,49030,6837,119,352,1712,4653,42194,10444,28431,3318
77,alabama,1995,4253000,48481,6324,112,317,1858,4037,42157,10248,28443,3466
78,alabama,1996,4273000,48201,5654,104,327,1667,3556,42547,10021,28867,3658
79,alabama,1997,4319000,48897,5645,99,323,1605,3618,43253,10138,29548,3567
80,alabama,1998,4352000,45971,5121,81,332,1309,3399,40850,9643,27790,3417
81,alabama,1999,4369862,44125,4902,79,346,1212,3265,39223,8844,27373,3006
82,alabama,2000,4447100,45459,4862,74,333,1282,3172,40597,9069,28648,2880
83,alabama,2001,4468912,43150,4382,85,306,1250,2741,38768,9094,26850,2824
84,alabama,2002,4478896,44728,4450,68,372,1331,2680,40278,9506,27670,3101
85,alabama,2003,4503762,44756,4292,66,368,1341,2517,40464,9602,27541,3321
86,alabama,2004,4525375,44563,4270,56,385,1335,2494,40293,9870,27324,3099
87,alabama,2005,4548327,43238,4317,82,345,1414,2483,38921,9558,26500,2883
88,alabama,2006,4599030,43613,4252,83,359,1535,2276,39361,9691,26443,3227
89,alabama,2007,4627851,44196,4480,89,334,1599,2458,39716,9795,26846,3075
90,alabama,2008,4667464,45196,4513,76,346,1570,2521,40683,10771,27036,2876
91,alabama,2009,4708708,42305,4501,68,319,1331,2783,37804,10373,25075,2355
92,alabama,2010,4779736,38946,3778,57,282,996,2442,35168,8794,24156,2218
