,State,Year,Population,Total Crime Rate,Violent Crime Rate,Murder,Forcible Rape,Robbery,Aggravated Assault,Property Crime Rate,Burglary,Larceny - Theft,Motor Vehicle Theft
Row,,,,"per 100,000 population",total,,,,,total,,,
1,alaska,1965,253000,26036,1490,63,178,399,850,24545,5545,14929,4071
2,alaska,1966,272000,27857,1504,129,195,360,820,26353,5930,16007,4415
3,alaska,1967,272000,28846,1607,96,176,353,982,27239,6886,16309,4044
4,alaska,1968,277000,33209,1755,105,217,527,906,31455,7473,19159,4823
5,alaska,1969,282000,38801,2213,106,294,674,1138,36589,8706,21968,5915
6,alaska,1970,302173,38018,2780,122,261,718,1678,35238,7899,21825,5513
7,alaska,1971,313000,41645,3553,134,435,671,2313,38093,8486,24380,5227
8,alaska,1972,325000,44785,3705,95,418,665,2526,41080,9708,26391,4982
9,alaska,1973,330000,49433,3845,100,445,670,2630,45588,11673,28655,5261
10,alaska,1974,337000,52398,4531,136,493,884,3018,47866,11668,29721,6478
11,alaska,1975,352000,61966,5398,122,446,1295,3534,56568,12145,35224,9199
12,alaska,1976,382000,62207,5401,113,469,1249,3571,56806,12181,36568,8058
13,alaska,1977,407000,58980,4432,108,516,968,2840,54548,13317,33698,7533
14,alaska,1978,403000,60462,4419,129,556,913,2821,56042,13392,36035,6615
15,alaska,1979,406000,62037,4911,133,719,1096,2963,57126,13833,37133,6160
16,alaska,1980,440142,56457,4360,89,568,818,2885,52097,12598,33889,5610
17,alaska,1981,412000,65949,6158,146,1022,1146,3845,59791,13299,39587,6905
18,alaska,1982,438000,62126,6237,185,854,1338,3861,55888,11881,38064,5943
19,alaska,1983,479000,60186,6138,138,1015,971,4015,54048,11942,35668,6438
20,alaska,1984,500000,61152,6216,116,916,1094,4090,54936,12368,36280,6288
21,alaska,1985,521000,58770,5818,98,772,929,4019,52952,11917,34971,6063
22,alaska,1986,534000,62459,5704,86,727,880,4011,56755,11618,39099,6037
23,alaska,1987,525000,53775,4554,101,650,731,3072,49221,9701,34657,4863
24,alaska,1988,513000,49216,5228,57,577,729,3865,43988,8423,31016,4550
25,alaska,1989,527000,47799,4977,80,529,676,3693,42822,8269,30002,4550
26,alaska,1990,550043,51527,5245,75,729,767,3674,46282,8943,31685,5654
27,alaska,1991,570000,57016,6139,74,918,1132,4016,50877,9793,35746,5339
28,alaska,1992,587000,55695,6605,75,986,1090,4453,49090,8807,35312,4971
29,alaska,1993,599000,55679,7608,90,838,1224,5456,48072,8169,35394,4509
30,alaska,1994,606000,57081,7663,63,690,1462,5449,49417,8000,36013,5404
31,alaska,1995,604000,57538,7709,91,803,1551,5263,49829,8369,36243,5217
32,alaska,1996,607000,54504,7277,74,656,1170,5377,47227,8432,33867,4929
33,alaska,1997,609000,52726,7011,89,662,1064,5197,45714,7021,34122,4571
34,alaska,1998,614000,47770,6539,67,686,866,4920,41231,6674,30311,4246
35,alaska,1999,619500,43595,6308,840,835,914,4476,37287,6113,26883,4291
36,alaska,2000,626932,42494,5669,430,703,782,4051,36825,6219,26858,3748
37,alaska,2001,609000,424460,5895,62,791,811,4231,36551,6071,26348,4132
38,alaska,2002,614000,432510,5654,51,797,762,4044,37597,6092,27653,3852
39,alaska,2003,648280,43596,5980,600,933,688,4299,37616,5976,27844,3796
40,alaska,2004,657755,40032,6323,560,848,680,4739,33709,5736,24567,3406
41,alaska,2005,663253,42264,6323,48,811,810,4654,36125,6228,26007,3913
42,alaska,2006,670053,42929,6880,54,760,903,5164,36049,6173,26102,3774
43,alaska,2007,683478,40407,6612,64,774,853,4920,33795,5387,22470,3538
44,alaska,2008,688125,35714,6509,39,647,936,4887,29205,4697,22140,2369
45,alaska,2009,698473,35738,6334,31,734,936,4632,29404,5154,21835,2415
46,alaska,2010,710231,34913,6388,44,750,836,4758,28525,4372,21873,2280
